Task,Baseline,Gold,Gold_model,Silver,Silver_model,Bronze,Bronze_model
Aerodynamics_CarAerodynamicsSensing,0.9617,0.9632,deepseek-v3.2/gemini-3.1-pro-preview/qwen3-coder-next,0.9632,deepseek-v3.2/gemini-3.1-pro-preview/qwen3-coder-next,0.9632,deepseek-v3.2/gemini-3.1-pro-preview/qwen3-coder-next
Astrodynamics_MannedLunarLanding,4577.437,6839.0331,glm-5,6660.942428,gpt-5.4,6079.2455,deepseek-v3.2
ComputerSystems_MallocLab,28.145172775318017,84.05590296956399,claude-opus-4.6,68.13746400834182,glm-5,50.18820374517181,gemini-3.1-pro-preview
Cryptographic_AES-128,7.5209,39.824967043300866,gpt-5.4,12.4591,deepseek-v3.2,11.8617,claude-opus-4.6
Cryptographic_SHA-256,9.8274,26.34045367870492,gpt-5.4,17.2504,grok-4.20,16.7955,claude-opus-4.6
Cryptographic_SHA3-256,16.0932,37.44512785396786,gpt-5.4,18.3478,seed-2.0-pro,17.5778,glm-5
EnergyStorage_BatteryFastChargingProfile,71.2806,121.84160450276724,gpt-5.4,120.8025,claude-opus-4.6,118.7678,glm-5
EnergyStorage_BatteryFastChargingSPMe,66.1636,92.3198,gemini-3.1-pro-preview,91.0079,deepseek-v3.2,79.0273,qwen3-coder-next
EngDesign,1.3571,27.0,gemini-3.1-pro-preview/grok-4.20/seed-2.0-pro,27.0,gemini-3.1-pro-preview/grok-4.20/seed-2.0-pro,27.0,gemini-3.1-pro-preview/grok-4.20/seed-2.0-pro
InventoryOptimization_disruption_eoqd,0.3642,0.6473,claude-opus-4.6,0.639,gemini-3.1-pro-preview,0.6381,deepseek-v3.2
InventoryOptimization_finite_horizon_dp,0.3673,0.9606835281410351,gpt-5.4,0.9596,claude-opus-4.6,0.8547,grok-4.20
InventoryOptimization_general_meio,0.1825,0.9999999999999999,gpt-5.4,0.9929,claude-opus-4.6,0.9893,deepseek-v3.2
InventoryOptimization_joint_replenishment,0.3034,0.8822,claude-opus-4.6/deepseek-v3.2/gemini-3.1-pro-preview/glm-5/grok-4.20/seed-2.0-pro,0.8822,claude-opus-4.6/deepseek-v3.2/gemini-3.1-pro-preview/glm-5/grok-4.20/seed-2.0-pro,0.8822,claude-opus-4.6/deepseek-v3.2/gemini-3.1-pro-preview/glm-5/grok-4.20/seed-2.0-pro
InventoryOptimization_tree_gsm_safety_stock,0.3813,0.6606070711644478,claude-opus-4.6/gemini-3.1-pro-preview/glm-5/gpt-5.4/grok-4.20/qwen3-coder-next/seed-2.0-pro,0.6606070711644478,claude-opus-4.6/gemini-3.1-pro-preview/glm-5/gpt-5.4/grok-4.20/qwen3-coder-next/seed-2.0-pro,0.6606070711644478,claude-opus-4.6/gemini-3.1-pro-preview/glm-5/gpt-5.4/grok-4.20/qwen3-coder-next/seed-2.0-pro
JobShop_abz,80.5042,96.1035,claude-opus-4.6,91.23143065488635,gpt-5.4,88.4924,glm-5
JobShop_swv,81.6325,89.4966,claude-opus-4.6,87.33430826602005,gpt-5.4,87.1611,glm-5
JobShop_ta,78.8,90.8322,claude-opus-4.6,86.8095,glm-5,86.16070055174835,gpt-5.4
KernelEngineering_FlashAttention,11.138507582378653,13.567074545432089,gpt-5.4,13.33479349322082,qwen3-coder-next,12.445371229667932,gemini-3.1-pro-preview
KernelEngineering_MLA,0.552838720330043,1.4292278915219672,gpt-5.4,1.411204104155448,gemini-3.1-pro-preview,1.4094301293314115,seed-2.0-pro
KernelEngineering_TriMul,2.299576995396445,2.568818916185172,glm-5,2.5413408823671753,claude-opus-4.6,2.529851645031261,seed-2.0-pro
Optics_adaptive_fault_tolerant_fusion,0.3959,0.64,deepseek-v3.2,0.6398,claude-opus-4.6/gemini-3.1-pro-preview/glm-5/grok-4.20/qwen3-coder-next/seed-2.0-pro,0.6398,claude-opus-4.6/gemini-3.1-pro-preview/glm-5/grok-4.20/qwen3-coder-next/seed-2.0-pro
Optics_adaptive_temporal_smooth_control,0.3152,0.8421,qwen3-coder-next/seed-2.0-pro,0.8421,qwen3-coder-next/seed-2.0-pro,0.842,grok-4.20
Optics_fiber_guardband_spectrum_packing,0.3861,0.6754289215686274,gpt-5.4,0.6692,claude-opus-4.6/glm-5,0.6692,claude-opus-4.6/glm-5
Optics_fiber_mcs_power_scheduling,0.3297,0.6608370951757289,gpt-5.4,0.6542,claude-opus-4.6,0.6491,glm-5/seed-2.0-pro
Optics_fiber_wdm_channel_power_allocation,0.3255,0.6964207451370852,gpt-5.4,0.6686,glm-5,0.6679,deepseek-v3.2
Optics_holographic_multifocus_power_ratio,0.3927,0.8265,deepseek-v3.2,0.8072,claude-opus-4.6,0.711,glm-5
Optics_holographic_multiplane_focusing,0.3302,0.7196,deepseek-v3.2,0.6002,claude-opus-4.6,0.5631,qwen3-coder-next
Optics_phase_dammann_uniform_orders,26.8969,99.7995,claude-opus-4.6,97.9498,gemini-3.1-pro-preview,97.8709,glm-5
Optics_phase_fourier_pattern_holography,32.6457,82.1276,claude-opus-4.6,76.6371,gemini-3.1-pro-preview,76.0127,glm-5
PyPortfolioOpt_robust_mvo_rebalance,32.9804,99.99460428985267,gpt-5.4,99.9946,claude-opus-4.6,99.983,grok-4.20
QuantumComputing_task_01_routing_qftentangled,0.19783929777177592,3.5195267063303555,glm-5,3.5048626168869443,grok-4.20,3.449520068113739,deepseek-v3.2
QuantumComputing_task_02_clifford_t_synthesis,3.0,2.84734657075243,claude-opus-4.6/deepseek-v3.2/gemini-3.1-pro-preview/gpt-5.4/grok-4.20/qwen3-coder-next/seed-2.0-pro,2.84734657075243,claude-opus-4.6/deepseek-v3.2/gemini-3.1-pro-preview/gpt-5.4/grok-4.20/qwen3-coder-next/seed-2.0-pro,2.84734657075243,claude-opus-4.6/deepseek-v3.2/gemini-3.1-pro-preview/gpt-5.4/grok-4.20/qwen3-coder-next/seed-2.0-pro
QuantumComputing_task_03_cross_target_qaoa,1.4803774770018094,1.680392020478902,gemini-3.1-pro-preview,,,,
ReactionOptimisation_mit_case1_mixed,87.3082,98.66214557690091,gpt-5.4,98.6621,claude-opus-4.6,98.6041,deepseek-v3.2
ReactionOptimisation_reizman_suzuki_pareto,63.5202,82.9901,glm-5,82.3427,claude-opus-4.6,82.24612252072882,gpt-5.4
ReactionOptimisation_snar_multiobjective,57.5234,87.39396909451965,gpt-5.4,87.3657,claude-opus-4.6,82.7881,deepseek-v3.2
Robotics_DynamicObstacleAvoidanceNavigation,0.0722,0.086,claude-opus-4.6,0.08571428571428559,gpt-5.4,0.0857,glm-5
Robotics_PIDTuning,0.0366,0.1632,claude-opus-4.6,0.1585,grok-4.20,0.1521,gemini-3.1-pro-preview
Robotics_QuadrupedGaitOptimization,0.0218,0.1085,glm-5,0.0749,deepseek-v3.2,0.0232,qwen3-coder-next
Robotics_RobotArmCycleTimeOptimization,0.2922,0.4356212836221511,gpt-5.4,0.4305,gemini-3.1-pro-preview,0.4219,glm-5
Robotics_UAVInspectionCoverageWithWind,28.8519,55.9109,grok-4.20,38.8024,deepseek-v3.2,35.1121,glm-5
